ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004063735367334229,-0.007503575471601197,0.0,0.0,-0.0031571623680184406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014470841167383968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004622935419603607,0.0,0.0,0.0,-0.005568997731825678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012116256313077826,0.0,0.0,0.0,0.0,0.0,-0.0044382528619577866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005489608850942117,0.0,-0.1599148470882154,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004499567787325104,0.0,0.0,0.0,-0.0050484219550929596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010274311038097552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024479881587371966,0.0,0.0,-0.005979610269343334,0.0,0.0,0.0,-0.005248905993360305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018829491915724937,0.0,0.0,0.0,0.0,0.0,-0.009952880636782699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009887179809607852,0.0,-0.11444994963028386,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007894857807474709,-0.007108458146676494,0.0,0.0,0.0,0.0,0.0,0.0,-0.007980050220041054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013170028565452317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008779433741445205,0.0,0.0,0.0,-0.007760586652713755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021868078093900838,0.0,0.0,0.0,0.0,0.0,-0.004945867359744761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004636748804493329,0.0,-0.14202326113194882,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.01766959193720342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02218818637762369,0.0,0.0,0.0,0.0,0.0,0.0,0.017170288369216913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10367318875230468,0.0,0.0,0.0,0.0,0.017394823362615438,0.0,0.0,0.0,0.0,0.0,0.016413522415497456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024009815985588254,0.0,0.0,0.0,0.0033483030272663528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18381152342605453,0.0,0.0,0.0,0.009659271775856562,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005445717522635035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017584423451975216,0.0,0.0,0.0,0.0,0.010111920075697629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006238793258461989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010331497523064524,0.0,0.0,0.0,0.0,0.0,-0.004781340088987044,0.0,0.0,0.0,0.0,0.0,0.0,0.055218424750229395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050291141024426285,0.0,-0.2707030062183497,0.03697451480732243,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003906468154398595,-0.006968424883981851,0.0,0.0,-0.003146751978566509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014616656957381579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053158957684149855,0.0,0.0,0.0,-0.005053078313575784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013618810024392374,0.0,0.0,0.0,0.0,0.0,-0.004944478707137363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005300621276437081,0.0,-0.15847502657567414,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010071327603244579,0.0,0.0,0.0,0.0,0.0,0.0,0.04349483146562298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010105968533295769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014452996678044368,0.0,0.0,0.0,0.0,0.0,0.0,-0.012993568854314842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029439083146762163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010211091413007023,0.0,0.0,0.0,0.0,0.0,0.0,0.1124428648344944,0.0,-0.009217055401364116,0.0,0.17198581026314452,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02302236174476547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17547900937759164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004601177687356345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15221881505404405,0.0033079216007240197,0.0,0.003341860832441687,0.0029351009871871267,0.0,0.0,0.0,0.0,0.0,0.0,0.0022646768232139625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012011038948875776,0.0,0.2979537337385605,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030695075647268425,-0.007412185511440734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014599689777046086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006297179624052558,0.0,0.0,0.0,-0.005224453088240689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012807445891908636,0.0,0.0,0.0,0.0,0.0,-0.005399298502111269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005948194601286178,-0.00237378000337346,-0.15821447807577382,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003286131894006383,0.0676964562344863,0.0,0.0,-0.0026760245034692476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03578459377507698,0.0,0.0,0.0,0.0,0.012739070594242615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005442309266651053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012912299412147577,0.0,0.0,0.0,0.0,0.0,-0.004047140156110407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006630422046469357,0.0,-0.19945689866506916,0.0,0.0,0.0,0.0,0.0
